type,name,href,img
草部,茈胡（柴胡）,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E8%8C%88%E8%83%A1%EF%BC%88%E6%9F%B4%E8%83%A1%EF%BC%89,
草部,前胡,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E5%89%8D%E8%83%A1,http://p.ayxbk.com/images/thumb/e/e9/Bk3ao.jpg/220px-Bk3ao.jpg
草部,防风,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E9%98%B2%E9%A3%8E,http://p.ayxbk.com/images/thumb/c/c0/Bk17z.jpg/220px-Bk17z.jpg
草部,独活,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E7%8B%AC%E6%B4%BB,http://p.ayxbk.com/images/thumb/4/42/Bk14a.jpg/220px-Bk14a.jpg
草部,升麻,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E5%8D%87%E9%BA%BB,http://p.ayxbk.com/images/thumb/8/8a/Bkmdg.jpg/220px-Bkmdg.jpg
草部,苦参,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E8%8B%A6%E5%8F%82,http://p.ayxbk.com/images/thumb/a/a2/Bk2e9.jpg/220px-Bk2e9.jpg
草部,白鲜,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E7%99%BD%E9%B2%9C,
草部,延胡索,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E5%BB%B6%E8%83%A1%E7%B4%A2,
草部,贝母,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E8%B4%9D%E6%AF%8D,
草部,山慈姑,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E5%B1%B1%E6%85%88%E5%A7%91,http://p.ayxbk.com/images/thumb/8/8f/Bk6xx.jpg/220px-Bk6xx.jpg
草部,石蒜,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E7%9F%B3%E8%92%9C,http://p.ayxbk.com/images/f/f3/Bkmtn.jpg
草部,白茅,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E7%99%BD%E8%8C%85,
草部,龙胆,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E9%BE%99%E8%83%86,http://p.ayxbk.com/images/thumb/e/e0/Bk2ne.jpg/220px-Bk2ne.jpg
草部,细辛,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E7%BB%86%E8%BE%9B,http://p.ayxbk.com/images/thumb/e/e0/Bk4bm.jpg/220px-Bk4bm.jpg
草部,及己,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E5%8F%8A%E5%B7%B1,http://p.ayxbk.com/images/thumb/6/64/Bkde6.jpg/220px-Bkde6.jpg
草部,徐长卿,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E5%BE%90%E9%95%BF%E5%8D%BF,http://p.ayxbk.com/images/1/1c/Bk4jn.jpg
草部,白薇,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E7%99%BD%E8%96%87,http://p.ayxbk.com/images/thumb/6/60/Bk09i.jpg/220px-Bk09i.jpg
草部,白前,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E7%99%BD%E5%89%8D,http://p.ayxbk.com/images/b/b7/Bk090.jpg
草部,锦地罗,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E9%94%A6%E5%9C%B0%E7%BD%97,http://p.ayxbk.com/images/thumb/1/1e/Bkn9n.jpg/220px-Bkn9n.jpg
草部,檀香,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E6%AA%80%E9%A6%99,http://p.ayxbk.com/images/thumb/4/4d/Bk3wn.jpg/220px-Bk3wn.jpg
